idAdress;No voie;Type de voie;Voie;idCommune
249;1;RES;RENOIR;72
250;2;RUE;PAUL CLAUDEL;73
251;22;RUE;DE LA FRATERNITE;74
252;2;RUE;DENAIN;74
253;14;RUE;CHARLES PEGUY;74
254;4;RES;PARC MONTFAULT;75
255;11;RUE;DU VERT GALANT;74
256;16;IMP;DU PRE DE MOLLES;75
257;84;RTE;DE LYON;75
258;3;RUE;JACQUES VINCENT;75
259;24;RUE;GASPARD ROUX;74
260;1;AV;DU DRAPEAU;76
261;71;RUE;JEAN JAURES;77
262;2;RUE;MONTIGNAC;77
263;2;RUE;DU 11 NOVEMBRE;77
264;10;RUE;DUCHON;77
265;4;RUE;HUBERT COLOMBIER;77
266;9003;PL;DE L HORLOGE;78
267;7102;PL;DE L ENGIEN;79
268;7003;RES;LES MELEZES;80
269;9500;TRA;DU CAMPING;81
270;1;RUE;DES MONGES;82
271;7066;;STATION DE SAINT JEAN;83
272;9002;PL;DU DOCTEUR ROBERT;78
273;7192;;LA CHAPELLE;84
274;;PL;DES AIRES;85
275;7078;RTE;DE MAZAGRAND;86
276;7037;;LE VILLAGE;87
277;6;RUE;GRANDE;88
278;7034;;ADRECH DE CHAUVET;84
279;25;AV;FRANCOIS CUZIN;82
280;20;RUE;DU VALLON DE FARINE;82
281;7002;;STATION DE SAINT JEAN;83
282;7042;;LE VILLAGE;89
283;7398;;PONT DE LABRAU OUEST;84
284;24;LOT;LOTISSEMENT DU BERARD;90
285;7052;RES;LES CHENEVRIERS;80
286;12;CHE;DES ALPAGES;91
287;25;RUE;PRINCIPALE;86
288;7300;CHE;DES BEAUMES;92
289;39;BD;VICTOR HUGO;82
290;9482;RES;LE VALLON DES SOURCES;82
291;32;BD;VICTOR HUGO;82
292;5081;;LE SUPERSAUZE;80
293;26;;LE PONT;93
294;7178;;PONT DE LABRAU;84
295;2;IMP;DE CARUPE;94
296;7153;;LES HAUTES PLAINES;92
297;5112;RES;LES MARGUERITES;80
298;4;PL;DE LA MAIRIE;82
299;5230;;LE SUPERSAUZE;80
300;6;;ANCIENNE RTE D FORCALQUIER;95
301;7096;;BEAUDINE;96
302;3;PL;DE LA REPUBLIQUE;78
303;53;RUE;DELEUZE;78
304;7023;;GRANDE MONTAGNE;97
305;7052;;LES AUCHES;84
306;181;ALL;DES AVETTES;98
307;5;AV;MARCEL ANDRE;96
308;7218;;LACHAUD ET CHAUVET;84
309;320;AV;DU DCT BERNARD FOUSSIER;98
310;6;RUE;ANDRE HONNORAT;91
311;155;RUE;DOC CASIMIR CAIRE;96
312;5637;AV;DES THERMES;92
313;7054;;LA CHAPELLE;84
314;3;RUE;TANNERIE;79
315;118;RUE;POTERIE;78
316;1;REM;DES CORDELIERS;96
317;9002;;LES LAVANDES;98
318;;RES;LES MARMOTTES BLEUES;99
319;5038;;LE VILLAGE;100
320;9;RUE;FONT CHAUDE;78
321;7089;;SAINT PIERRE;88
322;5154;RUE;DE LA FERRAILLE;101
323;7215;;LA SESTRIERE;84
324;3;TRA;DES EAUX CHAUDES;82
325;1;RUE;JULES BOURDIN;102
326;14;ALL;DE PROVENCE;98
327;5028;CHE;DE STE ANNETTE;92
328;36;AV;HENRI JAUBERT;82
329;117;AV;DES THERMES;92
330;9001;RES;JEANNE D ARC;98
331;20;RUE;MARIUS DEBOUT;96
332;7224;;LES HAUTES PLAINES;92
333;;RES;PRA CHAUVET;99
334;7009;;ADRECH DE CHAUVET;84
335;;RES;LES MELEZES;99
336;7215;;STATION DE SAINT JEAN;83
337;7113;;LES SAGNES;88
338;7024;;LES HAUTES PLAINES;92
339;7023;;LES HAUTES PLAINES;92
340;3;RUE;DU FRESQUIE;96
341;;RES;LE CEZANNE;92
342;20;ALL;DE PROVENCE;98
343;7102;RTE;DU LAC;103
344;5038;;LES VIEUX BAINS;92
345;29;RUE;NATIONALE;85
346;;RES;LE CHRISTIANA;99
347;5177;RUE;GRANDE;104
348;9013;BD;PAUL MARTIN NALIN;98
349;11;RUE;DE L ANCIENNE MAIRIE;82
350;9001;;LA COLETTE;98
351;7028;;MAZAGRAND;86
352;8;MTE;DU CHASTEL;86
353;5;AV;DES THERMES;82
354;;RES;LA BERANGERE;99
355;5004;AV;GEORGES DE SALVE;105
356;30;AV;DES ARCADES;78
357;15;CHE;DES AJONCS;82
358;40;AV;JEAN MOULIN;78
359;4;RUE;DES ALPES;98
360;42;CHE;DES SALETTES;81
361;7091;;CHANTEMERLE;88
362;7263;RES;LA PETITE OURSE 2;84
363;28;RUE;DE L HUBAC;82
364;;RES;L EDELWEISS;99
365;16;AV;SAINT PROMASSE;96
366;9491;CHE;DU LAC;81
367;20;RUE;DE LA REPUBLIQUE;106
368;7;RUE;GRENETTE;91
369;12;RUE;LOUIS ANDRIEUX;96
370;156;RUE;PIERRE MAITRE;107
371;3;RLE;DES PRISONS;96
372;16;RUE;DE L ARMISTICE;98
373;7197;RES;LE SCHUSS 3;84
374;10;AV;MARCEL ANDRE;96
375;7089;AV;REINE DES ALPES;91
376;7199;;LE SEIGNUS BAS;84
377;7;PL;GENERAL DE GAULLE;82
378;7464;;STATION DU GRAND PUY;88
379;8;CHE;DES PASQUIERS;91
380;5249;PL;DU FOUR;108
381;5031;;LE VILLAGE;109
382;5169;;LE VILLAGE;110
383;30;BD;CHARLES DE GAULLE;98
384;;RES;LA TOVIERE;99
385;7076;RES;LES MELEZES ROI SOLEIL;80
386;7112;;LES AUCHES;84
387;3;RUE;TRAVERSIERE;91
388;9001;;LA LUQUECE;98
389;70;AV;JEAN GIONO;98
390;35;RUE;DU MITAN;85
391;5135;RUE;DE COCODY;86
392;;RES;LA SAPINIERE;99
393;7037;;LES PLAINES;92
394;;RES;LA ROCHAILLE;99
395;28;;LE PONT;93
396;8;CRS;DU TRIBUNAL;82
397;103;BD;GASSENDI;82
398;53;BD;ELEMIR BOURGES;98
399;7073;;PONT DE LABRAU;84
400;3;CHE;DE VILLEVIEILLE;91
401;6103;;LES CHABRANDS;105
402;7245;;LE CLOS DE L EDEN;92
403;22;CHE;DU GALOUBET;102
404;7149;RUE;DES EAUX CHAUDES;92
405;7321;;LE SEIGNUS BAS;84
406;9005;AV;DES SAVELS;98
407;5525;RUE;GRANDE;88
408;13;MTE;SAINT CHARLES;82
409;44;;LE PONT;93
410;36;RUE;DE L HUBAC;82
411;16;LOT;LES LOUVES;104
412;5041;;LES PLAINES;92
413;;RES;LE MONOIKOS;99
414;4;LOT;LES BALCONS DU SOLEIL;98
415;5029;RUE;DE LA GRANDE FONTAINE;103
416;9018;AV;JEAN JAURES;78
417;6374;;RAVEL;111
418;5403;;PEYRE CHOUSSOUS;112
419;5141;;BARBA;113
420;5360;ESP;DESPIERRE;114
421;2;PROM;DE L ARCHEVECHE;115
422;5132;;PIED DE CHANCHORE;116
423;5258;ALL;MARTIAL LUCIEN;114
424;9218;;SERRE PAIX;117
425;5318;;MERLETTE;118
426;5246;ALL;AICARDI HUBERT;114
427;5498;IMP;TETE D'AMONT;119
428;5721;AV;CHARLES DE GAULLE;120
429;38;RUE;FRANCOIS CHABAS;117
430;9;AV;MAURICE PETSCHE;117
431;25;RUE;PASTEUR;117
432;6;RUE;DES REMPARTS;121
433;5255;;LA JOUE DU LOUP;122
434;5001;;LA CHAPELLE;123
435;11;RUE;PASTEUR;117
436;5183;;L ADROIT D'ABRIES;124
437;36;AV;CDT DUMONT;121
438;5449;RES;LES AGNEAUX;125
439;6;AV;DES MARTYRS;126
440;21;GR;GRANDE RUE;117
441;9000;RUE;COTE GELEE;127
442;7;AV;ADRIEN DAURELLE;117
443;5359;;MERLETTE;118
444;5243;;LE LACAS;128
445;9;RUE;VARANFRAIN;129
446;5287;;LES CHALPS;130
447;8;AV;GEN DE GAULLE;117
448;6459;;LES BERNARDS;131
449;5290;;CLOT DES LEOTHAUDS;132
450;4;CRS;VICTOR HUGO;121
451;17;RUE;ST JULIEN;133
452;16;PL;BARTHELON;115
453;2;RUE;JEAN EYMAR;121
454;5316;;ENTRE LA VIA;134
455;5732;;LES ILES;125
456;5162;RES;LES ISSARTS;122
457;2;RUE;PASTEUR;117
458;44;RTE;DE GRAFFINEL;121
459;5381;;MERLETTE;118
460;5809;;LE ROCHAS;135
461;5141;;LE BOIS D AUROUZE;122
462;44;RUE;DE LA TOUR;136
463;5398;;SUPER DEVOLUY;122
464;5316;;MERLETTE;118
465;30;RUE;DE VALSERRES;121
466;5095;;LA GRANDE SAGNE;122
467;33;RUE;JEAN JAURES;126
468;5216;;FONTAINEBLEAU;129
469;5041;PL;GEN ALBERT;137
470;5336;;MERLETTE;118
471;5293;;LA TARTARASSE;132
472;5830;;BOIS DE LA BLACHE;131
473;5000;;LA JOUE DU LOUP;122
474;5277;;PRE LALLEGRE;128
475;9001;RUE;DES MARRONNIERS;121
476;9007;RUE;DES EYGUIERES;131
477;9006;IMP;PRE LAGRANGE;133
478;5496;;LES EYSSARDS DE PELVOUX;119
479;5212;;SAINT FERREOL;138
480;5100;;LE CHEF LIEU;139
481;51;LOT;LES JARDINS DU MORGON;138
482;5220;;LA JOUE DU LOUP;122
483;5324;;LES ESCOUNDUS;114
