idCommune;Code postal;Commune;Code departement
438;22580;PLOUHA;22
439;22500;PAIMPOL;22
440;22370;PLENEUF-VAL-ANDRE;22
441;22410;SAINT-QUAY-PORTRIEUX;22
442;22190;PLERIN;22
443;22680;BINIC-ETABLES-SUR-MER;22
444;22120;HILLION;22
445;22950;TREGUEUX;22
446;22400;NOYAL;22
447;22650;BEAUSSAIS-SUR-MER;22
448;22100;DINAN;22
449;22380;SAINT-CAST-LE-GUILDO;22
450;22240;FREHEL;22
451;22100;TADEN;22
452;22770;LANCIEUX;22
453;22130;PLANCOET;22
454;22350;CAULNES;22
455;22100;LANVALLAY;22
456;22550;MATIGNON;22
457;22250;BROONS;22
458;22200;GUINGAMP;22
459;22970;PLOUMAGOAR;22
460;22700;PERROS-GUIREC;22
461;22300;LANNION;22
462;22220;TREGUIER;22
463;22660;TREVOU-TREGUIGNEC;22
464;22560;TREBEURDEN;22
465;22310;PLESTIN-LES-GREVES;22
466;22600;LOUDEAC;22
467;23300;LA SOUTERRAINE;23
468;23000;GUERET;23
469;24000;PERIGUEUX;24
470;24750;TRELISSAC;24
471;24750;BOULAZAC ISLE MANOIRE;24
472;24660;COULOUNIEIX-CHAMIERS;24
473;24100;BERGERAC;24
474;33220;PORT-SAINTE-FOY-ET-PONCHAPT;24
475;24510;VAL DE LOUYRE ET CAUDEAU;24
476;24230;LAMOTHE-MONTRAVEL;24
477;24120;TERRASSON LAVILLEDIEU;24
478;24200;SARLAT-LA-CANEDA;24
479;24580;ROUFFIGNAC-ST-CERNIN-DE-REILHA;24
480;24250;CASTELNAUD-LA-CHAPELLE;24
481;25000;BESANCON;25
482;25870;GENEUILLE;25
483;25410;SAINT VIT;25
484;25320;BOUSSIERES;25
485;25620;MAMIROLLE;25
486;25220;ROCHE LEZ BEAUPRE;25
487;25480;MISEREY SALINES;25
488;25870;BONNAY;25
489;25960;DELUZ;25
490;25870;LES AUXONS;25
491;25110;BAUME LES DAMES;25
492;25300;PONTARLIER;25
493;25300;GRANGES NARBOZ;25
494;25370;JOUGNE;25
495;25130;VILLERS LE LAC;25
496;25500;MORTEAU;25
497;25370;LES HOPITAUX NEUFS;25
498;25370;ROCHEJEAN;25
499;25290;ORNANS;25
500;25300;DOUBS;25
501;25800;VALDAHON;25
502;25300;LA CLUSE ET MIJOUX;25
503;25370;METABIEF;25
504;25580;ETALANS;25
505;25500;MONTLEBON;25
506;25240;MOUTHE;25
507;25300;LES FOURGS;25
508;25140;CHARQUEMONT;25
509;25400;AUDINCOURT;25
510;25230;SELONCOURT;25
511;25310;HERIMONCOURT;25
512;25200;MONTBELIARD;25
513;26100;ROMANS-SUR-ISERE;26
514;26000;VALENCE;26
515;26210;MORAS-EN-VALLOIRE;26
516;26200;MONTELIMAR;26
517;26300;BOURG-DE-PEAGE;26
518;26740;MONTBOUCHER-SUR-JABRON;26
519;26500;BOURG LES VALENCE;26
520;26120;CHABEUIL;26
521;26400;CREST;26
522;26290;DONZERE;26
523;26140;SAINT-RAMBERT-D ALBON;26
524;26220;DIEULEFIT;26
525;26790;TULETTE;26
526;26800;BEAUVALLON;26
527;26110;MIRABEL-AUX-BARONNIES;26
528;26270;LORIOL SUR DROME;26
529;26700;PIERRELATTE;26
530;26130;SAINT-PAUL-TROIS-CHATEAUX;26
531;26120;MONTELIER;26
532;26250;LIVRON SUR DROME;26
533;26800;PORTES LES VALENCE;26
534;26110;NYONS;26
535;26740;SAUZET;26
536;26260;SAINT-DONAT-SUR-L HERBASSE;26
